ID;preflabel;definition ;SoilVoc_concepts;broader match;exact match;close match;source (name type of source DOI, ISBN etc);publishing organisation;titel or reference to document
soil_management_monitoring_period;Monitoring period;"a period during which the soil emission reduction or storage of carbon is monitored by an operator or a group of operators, which covers at least the activity period, and which is determined in the applicable certification methodology;";https://soilwise-he.github.io/soil-health#NonsoilIndicators;"http://www.eionet.europa.eu/gemet/concept/5346; http://aims.fao.org/aos/agrovoc/c_4911; http://dbpedia.org/resource/Monitoring"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
ecosystem_services_permanently_chemically_bound_carbon_in_products;Permanently chemically bound carbon in products;carbon chemically stored within a product with the result that it does not enter the atmosphere under normal use of the product, including any normal activity taking place after the end of life of the product, in accordance with Article 12(3b) of Directive 2003/87/EC;https://soilwise-he.github.io/soil-health#ClimateRegulation; ; ; ;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_functions_geological_storage_of_CO2;Geological storage of CO2;geological storage of CO2 as defined in Article 3, point 1, of Directive 2009/31/EC;https://soilwise-he.github.io/soil-health#Lithology; https://data.geoscience.earth/ncl/EGDI_Keyword/2391; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;Certification body;an accredited or recognised independent conformity assessment body that has concluded an agreement with a certification scheme to carry out certification audits and issue certificates of compliance; ;"http://opendata.inrae.fr/thesaurusINRAE/c_22132;  http://www.eionet.europa.eu/gemet/concept/13292"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;Certification scheme;an organisation that certifies the compliance of activities and operators with the quality criteria and certification rules set out in this Regulation; ;http://opendata.inrae.fr/thesaurusINRAE/c_22132 ; ;http://aims.fao.org/aos/agrovoc/c_06049ef3;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;Certification audit;an audit carried out by a certification body; ;"http://opendata.inrae.fr/thesaurusINRAE/c_22132; http://aims.fao.org/aos/agrovoc/c_37956; ttp://www.eionet.europa.eu/gemet/concept/2776"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;Re-certification audit;an audit carried out in the process of renewing a certificate of compliance issued by a certification body; ;;;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;Certificate of compliance;a conformity statement issued by a certification body certifying that an activity complies with this Regulation; ;"http://opendata.inrae.fr/thesaurusINRAE/c_22132; http://aims.fao.org/aos/agrovoc/c_866a88e5"; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_permanent_carbon_removal_unit;Permanent carbon removal unit;"one metric tonne of CO2 equivalent of certified permanent net carbon removal benefit generated by a permanent carbon removal activity and registered by a certification scheme in its certification registry or, as applicable, in the Union registry provided for in Article 12;";https://soilwise-he.github.io/soil-health#ClimateRegulation; ; ; ;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_soil_emission_reduction_unit;soil emission reduction unit;one metric tonne of CO2 equivalent of certified net soil emission reduction benefit generated by a carbon farming activity and registered by a certification scheme in its certification registry or, as applicable, in the Union registry provided for in Article 12;https://soilwise-he.github.io/soil-health#ClimateRegulation; ; ; ;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_threats_reversal;Reversal;in the case of geological storage of CO2, leakage as defined in Article 3, point 5, of Directive 2009/31/EC and, for other activities, the voluntary or involuntary release back into the atmosphere of carbon captured and stored by an activity;https://soilwise-he.github.io/soil-health#SoilGaseousEmission; ; ; ;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
soil_management_carbon_farming_sequestration_unit;Carbon farming sequestration unit;one metric tonne of CO2 equivalent of certified temporary net carbon removal benefit generated by a carbon farming activity and registered by a certification scheme in its certification registry or, as applicable, in the Union registry provided for in Article 12;https://soilwise-he.github.io/soil-health#ClimateRegulation; ;;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
ecosystem_services_carbon_storage_in_product_unit;Carbon storage in product unit;one metric tonne of CO2 equivalent of certified temporary net carbon removal benefit generated by a carbon storage in product activity and registered by a certification scheme in its certification registry or, as applicable, in the Union registry provided for in Article 12;https://soilwise-he.github.io/soil-health#ClimateRegulation; ; ;;https://eur-lex.europa.eu/eli/reg/2024/3012/oj;European Union;REGULATION (EU) 2024/3012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 27 November 2024 establishing a Union certification framework for permanent carbon removals, carbon farming and carbon storage in products
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
<facetgroup><preflabel_in_English_without_spaces>;The ID is language-independent,;;Search soilwise vocabs for term this defenition falls under;broader term to narrower term -> reference to URI from agrovoc or eurovoc (or other) or ID when in same table;exact and close match -> reference to URI;;;;
